,228_store_name,232_type_of_store,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_,184_store_devices,hola_somos_estudiantes_del_tec_de_monterrey_estamos_realiz,le_comento_que_toda_esta_informacin_es_confidencial,233_date_establishment,5_change_store_space_last_year,6_change_employees_average_salary_last_year,20_reviews_finances_monthly,49_inventory_records,18_sales_records,155_sales_registers_used_for,19_tax_id,310_burnout,186_internet_connection,210_sales_channels,189_payment_methods,28_prefered_payment_method,31_different_prices_payment_method,269_cash_discount,270_card_extra_charge,30_payment_methods_large_purchases,214_customer_relationship_tools,33_credit_to_customers,35_interest_rate,38_average_margin_profits,193_sales_planning_tools,227_agreement_ecommerce_platforms,60_services,77_delivery_timeslots,79_delivery_vehicle,64_comission_services,66_percentaje_services_income,69_why_not_services,311_topups,312_payment_of_utilities,313_home_deliveries,314_reception_delivery_packages,42_willingness_share_inventory_data_suppliers,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,47_willingness_reorder_suppliers_lower_prices,43_willingness_share_sales_data_suppliers,58_willingness_share_sales_data_mse,59_willingness_share_sales_data_mse_better_prices,185_place_orders_suppliers,53_special_conditions_suppliers,278_credit_interest,192_procurement_planning_tools,277_payment_method_suppliers,56_procurement_changes_pandemic,279_changes_procurement_pandemic,157_frequency_organize_shelves,158_charact_organize_products_on_shelves,161_actions_stockouts,162_inventory_extra_space,249_technology_training,250_technology_investment_operations,251_technology_investment_customers,254_technology_roadmap,260_technology_scalable,261_technology_organization,262_technology_serve_customers,263_technology_secure_sales,264_technology_budget,267_technology_investment_customer_preferences,234_willingness_participate_workshop,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency
279,Kanaleon!,Butcher shop,no,no,yes,Smartphone,no,yes,2022-05-11,No cambió,No cambió,yes,En papel,En papel,No los uso,no,yes,no,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,,,0,,Redes sociales,no,no,5%,Ninguna,no,Recarga telefónica,Tarde (12:00 - 7:00 pm),Automóvil,2%,1-5%,Se quiere involucrar,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Página web del proveedor","Consignación,Crédito,Descuento por compras anticipadas,Recompra",0,Ninguna,Efectivo,no,Disminuir la cantidad del pedido,Diariamente,Margen de utilidad,Ofrecer un producto sustituto,0,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,yes,2.0,3.0,0.0,2.1,2.5,2.2,4.1,3.9,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,2.7
280,Frutería Las Maravillas ,Produce (fruits & vegetables),no,yes,yes,Smartphone,no,yes,2022-05-11,No cambió,No cambió,yes,En papel,En papel,No los uso,no,yes,no,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,,,0,,Redes sociales,no,no,5%,Ninguna,no,Recarga telefónica,Tarde (12:00 - 7:00 pm),Automóvil,2%,1-5%,Se quiere involucrar,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Página web del proveedor","Consignación,Crédito,Descuento por compras anticipadas,Recompra",0,Ninguna,Efectivo,no,Disminuir la cantidad del pedido,Diariamente,Margen de utilidad,Ofrecer un producto sustituto,0,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,yes,2.0,0.0,3.0,2.1,2.5,2.2,4.1,3.9,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,2.7
281,Todo Marravillas,limpieza,no,yes,no,POS system (i.e. computer + bar code scanner + printer),yes,yes,2020-03-09,No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,No los uso,no,no,yes,"Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,,,0,,Redes sociales,no,no,5%,Ninguna,no,Recarga telefónica,Tarde (12:00 - 7:00 pm),Automóvil,2%,1-5%,Se quiere involucrar,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Página web del proveedor","Consignación,Crédito,Descuento por compras anticipadas,Recompra",0,Ninguna,Efectivo,no,Disminuir la cantidad del pedido,Diariamente,Tamaño,Ofrecer un producto sustituto,10%,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,yes,0.0,0.0,2.0,0.0,0.0,2.2,4.1,3.9,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,2.7
282,Súper 45,Dairy products,no,no,yes,"Analog cash register,POS system (i.e. computer + bar code scanner + printer),Security cameras",yes,yes,2010-11-09,No cambió,Aumentó 15%,yes,Software especializado + computadora,Software especializado + computadora,No los uso,yes,no,yes,Llamada a Teléfono fijo,"Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,,,0,,Ninguna,no,no,5%,Ninguna,no,Recarga telefónica,Tarde (12:00 - 7:00 pm),Automóvil,1%,1-5%,Se quiere involucrar,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,"En persona,Página web del proveedor","Consignación,Crédito,Descuento por compras anticipadas,Recompra",0,Ninguna,Efectivo,no,Disminuir la cantidad del pedido,Diariamente,Margen de utilidad,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,no,2.0,1.4,24.0,4.0,4.0,2.1,1.0,3.9,1.0,11.8,1.5,7.0,12.2,11.1,9.4,2.0,7.0
283,Súper Bendito Hermanos,Dairy products,yes,no,yes,Analog cash register,yes,yes,2014-10-09,No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,No los uso,yes,yes,yes,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,,,0,,Redes sociales,no,no,20%,Ninguna,yes,"Entrega a domicilio,Pago de servicios públicos (e.g. Yastas),Recarga telefónica",Tarde (12:00 - 7:00 pm),Automóvil,5%,6-10%,Se quiere involucrar,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,"En persona,Llamada telefónica","Consignación,Crédito,Descuento por compras anticipadas,Recompra",3-5%,Ninguna,"Efectivo,Transferencia interbancaria",no,Disminuir la cantidad del pedido,Diariamente,"Frecuencia de venta,Margen de utilidad",Solicitar tiempo al cliente para conseguir el producto,40%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,no,2.0,6.0,30.0,3.0,3.0,2.1,1.0,3.7,1.0,11.8,1.5,7.0,7.0,7.0,7.0,2.0,7.0
284,No name ,Micro-restaurant (aka. fondita),yes,no,yes,Smartphone,no,yes,2014-10-09,No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,No los uso,yes,yes,yes,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,,,0,,Redes sociales,no,no,50% +,Ninguna,yes,Ninguno,Tarde (12:00 - 7:00 pm),Automóvil,5%,11-15%,Se quiere involucrar,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En persona,Crédito,3-5%,Ninguna,Efectivo,no,Disminuir la cantidad del pedido,Diariamente,"Frecuencia de venta,Margen de utilidad",Solicitar tiempo al cliente para conseguir el producto,40%,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,no,1.0,1.0,1.0,2.1,2.5,2.2,4.1,3.9,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,2.7
285,Memelitas Ame,Micro-restaurant (aka. fondita),no,no,yes,Smartphone,no,yes,2014-10-09,No cambió,No cambió,yes,Software especializado + computadora,Software especializado + computadora,No los uso,yes,yes,yes,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram)","Efectivo,Tarjeta de débito y/o crédito",Tarjeta de débito y/o crédito,,,0,,Redes sociales,no,no,50% +,Ninguna,yes,Ninguno,Tarde (12:00 - 7:00 pm),Automóvil,5%,11-15%,Se quiere involucrar,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En persona,Crédito,3-5%,Ninguna,Efectivo,no,Disminuir la cantidad del pedido,Diariamente,"Frecuencia de venta,Margen de utilidad",Solicitar tiempo al cliente para conseguir el producto,40%,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,no,1.0,1.0,1.0,2.1,2.5,2.2,4.1,3.9,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,2.7
286,Paola Papelería & Regalos,Papelería,no,yes,no,Analog cash register,yes,yes,2002-11-09,Aumentó 25%,Aumentó 15%,yes,"En Excel,En papel","En Excel,En papel",No los uso,yes,yes,yes,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Tarjeta de débito y/o crédito,,,0,,Aplicación móvil,no,no,50% +,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),Automóvil,5%,11-15%,Se quiere involucrar,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En persona,Crédito,3-5%,Ninguna,Efectivo,yes,Disminuir la cantidad del pedido,Semanalmente,Frecuencia de venta,Solicitar tiempo al cliente para conseguir el producto,30%,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,no,1.0,0.0,7.0,1.0,1.0,2.2,2.0,4.0,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,4.0
287,La suprema torta ,Micro-restaurant (aka. fondita),no,no,no,Smartphone,yes,yes,2022-03-18,No cambió,No cambió,yes,En papel,En papel,No los uso,no,yes,yes,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Tarjeta de débito y/o crédito,,,0,,Redes sociales,no,no,30%,Cuaderno,no,Ninguno,Tarde (12:00 - 7:00 pm),Automóvil,5%,11-15%,Es muy caro,Algo de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Algo en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,"Mensaje de texto (SMS),Mensajería instantánea (e.g. WhatsApp)",Crédito,3-5%,Cuaderno,Efectivo,no,"Aumentar la cantidad del pedido,Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,"Frecuencia de venta,Refrigeración",Ofrecer un producto sustituto,20%,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,yes,0.0,1.0,2.0,3.0,0.0,2.2,5.0,2.0,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,7.0
288,"Tortillas, semillas",Produce (fruits & vegetables),no,yes,yes,"Analog cash register,Smartphone",yes,yes,2017-11-09,Disminuyó 15%,Disminuyó 15%,yes,En papel,En papel,No los uso,yes,yes,no,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,,,0,,Ninguna,no,no,5%,Ninguna,no,Entrega a domicilio,Tarde (12:00 - 7:00 pm),Automóvil,5%,11-15%,No conozco los servicios,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En persona,Crédito,0,Ninguna,Efectivo,yes,"Aumentar la cantidad del pedido,Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Frecuencia de venta,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,no,2.0,1.0,7.0,1.0,0.0,0.0,8.0,3.0,1.0,11.8,1.5,11.8,12.2,21.0,0.0,2.0,7.0
289,Estetica Brushing,Peluqueria,no,no,no,Smartphone,yes,yes,2019-03-13,No cambió,Disminuyó 15%,no,No lo hago,No lo hago,No los uso,yes,no,no,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,,,0,,Aplicación móvil,no,no,10%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),Automóvil,5%,11-15%,No conozco los servicios,Totalmente de acuerdo,Totalmente de acuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,"Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Crédito,0,Ninguna,Tarjeta de débito y/o crédito,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Frecuencia de venta,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,no,0.0,0.0,0.0,0.0,2.5,2.2,4.1,3.9,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,2.7
290,Cemitas poblanas Dany,Micro-restaurant (aka. fondita),no,no,yes,Smartphone,yes,yes,2019-11-09,No cambió,Disminuyó 15%,no,En papel,En papel,No los uso,yes,yes,no,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Tarjeta de débito y/o crédito,,,0,,Aplicación móvil,no,no,10%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),Automóvil,5%,11-15%,No conozco los servicios,Totalmente de acuerdo,Totalmente de acuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,"Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Crédito,0,Ninguna,Tarjeta de débito y/o crédito,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Frecuencia de venta,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,no,0.0,1.0,1.0,0.0,0.0,2.2,3.0,3.7,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,2.7
291,Tortas y jugos,Cafeteria,no,no,yes,Analog cash register,yes,yes,2022-02-17,No cambió,Disminuyó 15%,yes,En papel,En papel,No los uso,yes,no,no,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Tarjeta de débito y/o crédito,,,0,,Aplicación móvil,no,no,10%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),Automóvil,5%,11-15%,No conozco los servicios,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,"Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Crédito,0,Ninguna,Tarjeta de débito y/o crédito,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Frecuencia de venta,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,no,3.0,2.0,1.0,0.0,0.0,2.2,4.1,3.9,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,2.7
292,Gorditas Claudia,Micro-restaurant (aka. fondita),no,no,yes,Analog cash register,yes,yes,2009-08-29,Disminuyó 25%,Disminuyó 15%,no,No lo hago,No lo hago,No los uso,yes,no,no,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Efectivo,,,0,,Aplicación móvil,yes,no,10%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),Automóvil,5%,11-15%,No conozco los servicios,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,"Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Crédito,0,Ninguna,Tarjeta de débito y/o crédito,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Frecuencia de venta,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,no,0.0,0.0,0.0,1.0,1.0,2.2,4.1,3.9,1.0,15.0,1.5,11.8,12.2,11.1,9.4,2.0,2.7
293,Verona Pasteles,Dairy products,no,no,yes,Analog cash register,no,yes,2009-08-29,Disminuyó 25%,Disminuyó 15%,no,No lo hago,No lo hago,No los uso,yes,no,no,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Efectivo,,,0,,Aplicación móvil,yes,no,10%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),Automóvil,5%,11-15%,No conozco los servicios,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,"Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Crédito,0,Ninguna,Tarjeta de débito y/o crédito,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Frecuencia de venta,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,no,1.0,3.0,1.0,2.1,2.5,2.2,4.1,3.9,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,2.7
294,Pronósticos Maravillas,Grocery store (aka. nanostore),yes,yes,no,"POS system (i.e. computer + bar code scanner + printer),Security cameras,Smartphone",no,yes,2022-11-09,Disminuyó 25%,Disminuyó 15%,no,No lo hago,No lo hago,No los uso,yes,no,no,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Efectivo,,,0,,Aplicación móvil,yes,no,10%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),Automóvil,5%,11-15%,No conozco los servicios,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,"Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Crédito,0,Ninguna,Tarjeta de débito y/o crédito,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Frecuencia de venta,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,no,0.0,1.4,6.0,2.1,2.5,2.2,4.1,3.9,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,2.7
295,Miscelánea El Estadio ,Grocery store (aka. nanostore),yes,yes,no,Smartphone,no,yes,2022-11-09,Disminuyó 25%,Disminuyó 15%,no,No lo hago,No lo hago,No los uso,yes,no,no,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Efectivo,,,0,,Aplicación móvil,yes,no,10%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),Automóvil,5%,11-15%,No conozco los servicios,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,"Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Crédito,0,Ninguna,Tarjeta de débito y/o crédito,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Frecuencia de venta,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,no,2.0,3.0,7.0,2.1,2.5,2.2,4.1,3.9,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,2.7
296,Tortas Los girasoles ,Micro-restaurant (aka. fondita),no,no,no,Smartphone,yes,yes,2019-11-09,No cambió,Disminuyó 15%,yes,En papel,En Excel,No los uso,yes,no,no,Llamada a Teléfono celular,Efectivo,Efectivo,,,0,,Aplicación móvil,yes,no,10%,Ninguna,no,Ninguno,Tarde (12:00 - 7:00 pm),Automóvil,5%,11-15%,No conozco los servicios,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,"Llamada telefónica,Mensajería instantánea (e.g. WhatsApp)",Crédito,0,Ninguna,Tarjeta de débito y/o crédito,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",Diariamente,Frecuencia de venta,"Ofrecer un producto sustituto,Solicitar tiempo al cliente para conseguir el producto",0,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,no,0.0,2.0,0.0,2.0,2.5,2.2,3.8,3.9,1.0,11.8,1.5,11.8,12.2,11.1,9.4,2.0,2.7
